Name,Color,Rarity,# Seen,ALSA,# Picked,ATA,# GP,% GP,GP WR,# OH,OH WR,# GD,GD WR,# GIH,GIH WR,# GNS,GNS WR,IWD
Acrobatic Cheerleader,W,C,354946,5.27,50314,7.52,212878,69.80%,54.20%,38567,54.30%,45655,52.60%,84222,53.40%,128307,54.70%,-1.4pp
Cult Healer,W,C,393467,6.29,46426,9.31,119088,42.50%,53.60%,20378,52.80%,28173,53.30%,48551,53.10%,70538,54.00%,-0.9pp
Dazzling Theater // Prop Room,W,R,50245,4.67,5598,7.19,6344,19.40%,45.00%,1024,36.90%,1439,41.30%,2463,39.50%,3870,48.40%,-8.9pp
Dollmaker's Shop // Porcelain Gallery,W,M,6988,1.4,5238,1.37,29589,90.70%,56.80%,5343,63.20%,7114,62.10%,12457,62.60%,17127,52.60%,9.9pp
Emerge from the Cocoon,W,C,389543,6.38,46383,9.33,101540,36.80%,51.80%,15876,50.40%,26123,56.40%,41999,54.10%,58864,50.00%,4.1pp
Enduring Innocence,W,R,16212,1.59,9999,1.58,55587,90.20%,56.70%,9816,61.40%,13131,58.90%,22947,60.00%,32682,54.30%,5.7pp
Ethereal Armor,W,U,90903,3.4,21745,4.15,107469,80.90%,55.70%,17437,56.10%,26077,58.60%,43514,57.60%,63940,54.40%,3.2pp
Exorcise,W,U,81116,2.96,22126,3.61,119045,88.50%,55.30%,19834,55.30%,28473,57.60%,48307,56.70%,70639,54.30%,2.4pp
Fear of Abduction,W,U,88055,3.28,21472,4.02,106694,81.70%,54.80%,16149,53.70%,26010,57.90%,42159,56.20%,64665,53.80%,2.5pp
Fear of Immobility,W,C,377742,5.73,52042,8.31,190915,60.40%,54.80%,29282,52.80%,46307,56.30%,75589,54.90%,115335,54.70%,0.3pp
Fear of Surveillance,W,C,295171,4.14,56419,5.67,310172,90.30%,55.40%,56217,56.10%,71032,54.80%,127249,55.40%,182629,55.30%,0.1pp
Friendly Ghost,W,C,390297,6.14,51803,8.87,169114,53.70%,55.00%,26678,54.30%,38804,56.30%,65482,55.50%,103454,54.60%,0.8pp
Ghostly Dancers,W,R,14842,1.45,10825,1.42,62143,91.10%,57.60%,10460,62.50%,15939,65.70%,26399,64.40%,35732,52.50%,11.9pp
Glimmer Seeker,W,U,79182,2.93,21654,3.55,118122,88.70%,55.80%,20454,58.60%,27528,55.90%,47982,57.10%,70203,54.90%,2.1pp
Grand Entryway // Elegant Rotunda,W,C,301554,4.13,56798,5.6,287488,83.80%,54.80%,50653,52.80%,67956,55.80%,118609,54.50%,168543,55.00%,-0.5pp
Hardened Escort,W,C,383309,6.03,44193,8.98,136710,51.00%,54.20%,23201,54.30%,29764,53.30%,52965,53.80%,83514,54.40%,-0.6pp
Jump Scare,W,C,401816,6.52,55324,9.27,163472,48.60%,55.40%,25329,54.40%,36225,56.10%,61554,55.40%,101902,55.50%,-0.1pp
Leyline of Hope,W,R,66877,5.95,7590,9.4,603,1.30%,40.60%,0,,125,,125,,477,,
Lionheart Glimmer,W,U,93303,3.44,19798,4.38,100005,83.60%,54.80%,15288,54.40%,23645,56.30%,38933,55.60%,60944,54.20%,1.3pp
Living Phone,W,C,419100,7.37,46479,10.8,57764,20.60%,53.20%,9814,50.40%,12679,52.00%,22493,51.30%,35130,54.30%,-3.1pp
Optimistic Scavenger,W,U,68137,2.57,26931,2.79,144191,86.40%,57.10%,25719,64.80%,34271,57.60%,59990,60.70%,84090,54.60%,6.1pp
Orphans of the Wheat,W,U,117548,4.35,19249,5.87,83223,71.40%,54.10%,14888,54.70%,17891,51.90%,32779,53.10%,50255,54.60%,-1.4pp
Overlord of the Mistmoors,W,M,6229,1.21,5246,1.19,31574,93.30%,58.90%,5495,68.00%,7792,68.10%,13287,68.00%,18269,52.20%,15.8pp
Patched Plaything,W,U,104215,3.82,22135,4.89,108378,80.90%,54.60%,18851,53.90%,24582,54.10%,43433,54.00%,65048,54.90%,-0.9pp
Possessed Goat,W,C,405352,6.93,41189,10.4,63522,25.90%,51.60%,11460,52.90%,14618,51.30%,26078,52.00%,37295,51.30%,0.7pp
Reluctant Role Model,W,R,19036,1.83,9460,1.86,51327,89.40%,55.40%,9463,59.70%,11842,54.40%,21305,56.70%,29971,54.40%,2.3pp
Savior of the Small,W,U,114593,4.28,15325,5.99,58974,64.90%,52.10%,9599,49.70%,13482,51.60%,23081,50.80%,35887,52.80%,-2.0pp
Seized from Slumber,W,C,322606,4.64,46712,6.7,211033,74.40%,54.70%,34823,53.80%,51045,57.70%,85868,56.10%,124938,53.60%,2.5pp
Shardmage's Rescue,W,U,93906,3.41,23645,4.2,122083,85.10%,55.40%,19447,56.30%,28842,56.60%,48289,56.50%,73741,54.60%,1.9pp
Sheltered by Ghosts,W,U,53086,2.08,25547,2.26,145255,91.50%,57.00%,24481,60.00%,34829,62.90%,59310,61.70%,85876,53.70%,8.0pp
Shepherding Spirits,W,C,397576,6.27,43980,9.47,114646,43.50%,52.30%,19417,49.40%,27670,53.70%,47087,51.90%,67519,52.60%,-0.6pp
Split Up,W,R,22480,2.11,8449,2.22,42880,84.00%,54.90%,7247,56.00%,10226,58.90%,17473,57.70%,25338,52.90%,4.8pp
Splitskin Doll,W,U,83516,3.07,27124,3.61,151242,89.70%,57.00%,27426,58.70%,34681,59.00%,62107,58.90%,88782,55.60%,3.2pp
Surgical Suite // Hospital Room,W,U,71632,2.69,22399,3.17,120245,87.90%,55.50%,19807,55.50%,28685,58.50%,48492,57.30%,71538,54.30%,3.0pp
"Toby, Beastie Befriender",W,R,19226,1.83,10384,1.86,58386,89.90%,57.10%,10296,62.70%,13734,60.60%,24030,61.50%,34194,53.90%,7.5pp
Trapped in the Screen,W,C,194104,2.85,59259,3.53,331453,91.60%,55.70%,56210,55.30%,79998,59.00%,136208,57.40%,194974,54.50%,3.0pp
Unidentified Hovership,W,R,19370,1.87,10490,1.89,56250,87.40%,56.50%,9523,60.30%,13332,61.20%,22855,60.80%,33367,53.60%,7.2pp
Unsettling Twins,W,C,359427,5.34,61201,7.38,260999,69.80%,55.70%,43065,56.30%,60209,57.20%,103274,56.80%,157122,54.90%,1.9pp
Unwanted Remake,W,U,145917,5.55,13164,8.76,23465,30.30%,49.80%,3757,46.20%,5410,48.70%,9167,47.60%,14286,51.20%,-3.6pp
Veteran Survivor,W,U,106889,3.92,20254,5.11,97827,79.00%,55.70%,17290,60.10%,21083,53.40%,38373,56.40%,59297,55.20%,1.3pp
The Wandering Rescuer,W,M,7211,1.39,4838,1.37,26137,89.20%,55.20%,4379,58.80%,6305,58.80%,10684,58.80%,15476,52.60%,6.3pp
Abhorrent Oculus,U,M,7585,1.49,5368,1.46,30141,91.20%,56.30%,4953,56.70%,8125,61.20%,13078,59.50%,17073,53.80%,5.7pp
Bottomless Pool // Locker Room,U,U,79077,2.91,26849,3.41,146794,90.40%,54.80%,24934,54.50%,39400,59.50%,64334,57.60%,81717,52.50%,5.0pp
Central Elevator // Promising Stairs,U,R,52841,4.77,9279,6.36,21107,39.10%,49.20%,3436,46.80%,6062,54.60%,9498,51.80%,11648,47.10%,4.7pp
Clammy Prowler,U,C,417815,7.4,47796,10.92,61258,21.50%,51.20%,9730,48.50%,15809,52.70%,25539,51.10%,35764,51.20%,-0.1pp
Creeping Peeper,U,C,390737,6.36,53067,9.15,160962,51.30%,51.80%,27786,51.30%,40140,51.70%,67926,51.50%,93014,52.10%,-0.5pp
Cursed Windbreaker,U,U,110177,4.07,25239,5.18,121559,79.20%,55.40%,20659,55.20%,32062,58.60%,52721,57.30%,68834,54.00%,3.3pp
Daggermaw Megalodon,U,C,406376,6.65,51880,9.77,137765,44.30%,52.80%,23426,50.50%,36219,54.10%,59645,52.70%,78358,52.90%,-0.2pp
Don't Make a Sound,U,C,410201,7,54555,10.07,108673,33.10%,53.90%,18666,54.70%,27702,55.30%,46368,55.10%,62267,53.10%,2.0pp
Duskmourn's Domination,U,U,151311,5.85,24064,8.12,70705,49.10%,53.50%,10666,51.70%,18846,56.90%,29512,55.00%,41225,52.40%,2.6pp
Enduring Curiosity,U,R,17334,1.67,10864,1.67,60332,90.40%,56.20%,10211,61.30%,16392,60.00%,26603,60.50%,33936,52.80%,7.7pp
Enter the Enigma,U,C,430390,8.04,50322,11.59,28530,9.50%,50.70%,4508,46.40%,7266,53.40%,11774,50.70%,16768,50.70%,-0.0pp
Entity Tracker,U,R,19240,1.86,11259,1.85,63586,91.90%,56.40%,11360,63.80%,17261,60.00%,28621,61.50%,35168,52.30%,9.2pp
Erratic Apparition,U,C,400871,6.77,49738,9.88,127289,42.90%,52.50%,21691,51.20%,32298,53.80%,53989,52.70%,73404,52.40%,0.4pp
Fear of Failed Tests,U,U,150165,6.03,17275,9.14,30750,30.00%,50.70%,4778,49.60%,8036,51.80%,12814,51.00%,17999,50.40%,0.6pp
Fear of Falling,U,U,101366,3.68,23455,4.69,120787,85.90%,54.30%,19159,52.40%,32629,57.30%,51788,55.50%,69409,53.50%,2.0pp
Fear of Impostors,U,U,122592,4.57,20232,6.27,84055,69.80%,53.30%,13791,51.50%,21849,55.40%,35640,53.90%,48415,52.80%,1.0pp
Fear of Isolation,U,U,79494,2.95,29569,3.37,163758,90.10%,56.50%,28071,56.20%,44369,61.60%,72440,59.50%,91499,54.20%,5.3pp
Floodpits Drowner,U,U,83521,3.03,29765,3.55,164489,90.00%,56.10%,29070,55.80%,48622,60.80%,77692,58.90%,90567,53.80%,5.2pp
Get Out,U,U,136120,5.1,24236,6.89,92796,64.20%,54.00%,15285,53.00%,24662,56.70%,39947,55.30%,52848,52.90%,2.3pp
Ghostly Keybearer,U,U,114644,4.27,20134,5.67,82827,70.10%,52.00%,13756,50.10%,22554,54.60%,36310,52.90%,46706,51.30%,1.6pp
Glimmerburst,U,C,351358,5.33,70178,7.07,321134,75.10%,55.50%,53951,55.60%,84576,58.80%,138527,57.50%,182456,54.00%,3.6pp
Leyline of Transformation,U,R,73140,6.46,8975,9.89,229,0.40%,,1,,58,,59,,168,,
Marina Vendrell's Grimoire,U,R,71354,6.3,8776,9.63,498,0.90%,,83,,151,,234,,264,,
Meat Locker // Drowned Diner,U,C,311753,4.56,60903,6.2,301035,82.90%,53.80%,50468,51.10%,79494,58.10%,129962,55.40%,169815,52.60%,2.8pp
The Mindskinner,U,R,39398,3.54,8452,4.34,33461,66.40%,53.40%,5536,53.70%,9096,57.20%,14632,55.90%,18974,51.60%,4.3pp
Mirror Room // Fractured Realm,U,M,12911,2.48,4725,2.64,22908,81.20%,53.30%,3754,50.90%,6270,58.10%,10024,55.40%,12766,51.60%,3.8pp
Overlord of the Floodpits,U,M,7525,1.47,5355,1.46,30177,90.40%,57.00%,5156,62.00%,8292,63.60%,13448,63.00%,16861,52.40%,10.6pp
Paranormal Analyst,U,U,104316,4.03,26802,4.79,116464,71.90%,54.80%,20596,57.10%,30240,56.20%,50836,56.60%,65657,53.50%,3.1pp
Piranha Fly,U,C,405791,6.84,56999,9.72,154324,45.00%,54.00%,27186,54.80%,38246,54.10%,65432,54.40%,88918,53.80%,0.6pp
Scrabbling Skullcrab,U,U,130938,5.14,21475,6.91,72749,58.00%,51.00%,12706,50.50%,19347,52.30%,32053,51.60%,40713,50.50%,1.1pp
Silent Hallcreeper,U,R,17201,1.68,11067,1.68,62537,91.50%,56.00%,11298,63.00%,16669,58.70%,27967,60.50%,34813,52.50%,7.9pp
Stalked Researcher,U,C,396970,6.52,60192,9.18,210376,58.10%,53.60%,36723,54.00%,53922,54.00%,90645,54.00%,119734,53.40%,0.6pp
"Stay Hidden, Stay Silent",U,U,84650,2.99,29193,3.52,162945,91.30%,55.90%,28073,56.10%,43611,60.60%,71684,58.80%,91251,53.60%,5.3pp
The Tale of Tamiyo,U,R,68300,6.02,8344,9.15,1428,2.90%,47.00%,250,,349,,599,48.20%,826,46.00%,2.2pp
Tunnel Surveyor,U,C,351855,5.29,63499,7.28,289965,75.60%,54.70%,50257,54.50%,74509,56.20%,124766,55.50%,165039,54.10%,1.4pp
Twist Reality,U,C,400663,6.66,58974,9.38,173382,48.90%,54.30%,28117,52.60%,46566,57.40%,74683,55.60%,98718,53.30%,2.3pp
Unable to Scream,U,C,281121,4.11,67321,5.3,365360,89.60%,55.10%,62376,54.70%,98331,58.30%,160707,56.90%,204705,53.80%,3.1pp
Underwater Tunnel // Slimy Aquarium,U,C,347219,5.12,60377,7.2,278808,77.30%,53.90%,49277,52.90%,73108,55.90%,122385,54.70%,155845,53.30%,1.4pp
Unnerving Grasp,U,U,80866,3.04,32569,3.4,180824,89.90%,56.70%,31464,58.60%,48599,61.80%,80063,60.60%,100759,53.70%,6.8pp
Unwilling Vessel,U,U,96481,3.53,22438,4.48,112185,84.80%,53.00%,19270,51.90%,29542,54.20%,48812,53.30%,63498,52.80%,0.5pp
Vanish from Sight,U,C,402704,6.58,71135,8.91,255419,59.10%,55.50%,40882,54.20%,68305,58.50%,109187,56.90%,146292,54.40%,2.5pp
Appendage Amalgam,B,C,398308,6.53,42681,9.79,112403,44.70%,51.00%,19332,50.20%,27657,52.50%,46989,51.50%,65280,50.60%,1.0pp
Balemurk Leech,B,C,398981,6.7,43246,9.95,98946,38.90%,50.20%,17419,49.60%,24421,51.00%,41840,50.40%,56996,49.90%,0.5pp
Cackling Slasher,B,C,427050,8.05,40623,12.06,19349,8.00%,47.70%,3042,44.80%,4743,47.50%,7785,46.40%,11552,48.60%,-2.1pp
Come Back Wrong,B,R,24349,2.26,8876,2.44,45827,87.20%,53.10%,7763,53.10%,11550,58.40%,19313,56.30%,26337,50.80%,5.5pp
Commune with Evil,B,U,143168,5.5,22355,7.49,72097,53.90%,53.40%,12513,54.40%,18150,58.00%,30663,56.50%,41219,51.20%,5.3pp
Cracked Skull,B,C,421196,7.7,48135,11.19,51149,17.90%,51.40%,8377,49.90%,13222,53.50%,21599,52.10%,29457,50.80%,1.3pp
Cynical Loner,B,U,133315,4.94,20695,6.85,82338,66.80%,53.20%,14734,55.90%,19908,54.20%,34642,54.90%,47595,51.90%,3.0pp
Dashing Bloodsucker,B,U,140830,5.36,18295,7.66,54674,51.20%,50.50%,8864,51.30%,14339,53.10%,23203,52.40%,31486,49.10%,3.3pp
Defiled Crypt // Cadaver Lab,B,U,109874,4.06,21500,5.3,88292,70.40%,51.90%,14209,49.90%,22601,55.90%,36810,53.60%,51010,50.50%,3.1pp
Demonic Counsel,B,R,62612,5.45,7400,8.42,4292,9.80%,50.30%,687,47.50%,1043,54.20%,1730,51.50%,2532,49.40%,2.1pp
Derelict Attic // Widow's Walk,B,C,397466,6.58,43987,9.87,93218,35.90%,51.70%,16128,51.20%,23641,54.80%,39769,53.30%,53141,50.50%,2.8pp
Doomsday Excruciator,B,R,57273,4.91,7012,7.47,8094,19.60%,46.80%,1168,40.70%,2002,45.60%,3170,43.80%,4890,48.90%,-5.1pp
Enduring Tenacity,B,R,33063,3.07,6345,3.77,24196,66.00%,49.90%,3942,47.40%,6211,54.00%,10153,51.50%,13998,48.70%,2.8pp
Fanatic of the Harrowing,B,C,412026,7.1,50458,10.19,111509,37.10%,52.80%,18427,53.40%,28194,55.90%,46621,54.90%,64533,51.30%,3.7pp
Fear of Lost Teeth,B,C,388209,6.24,50341,8.98,170269,56.80%,53.10%,29961,54.00%,41429,54.40%,71390,54.30%,98678,52.20%,2.1pp
Fear of the Dark,B,C,408978,7.06,40566,10.73,65895,27.60%,49.80%,10156,48.40%,16988,52.30%,27144,50.80%,38856,49.00%,1.8pp
Final Vengeance,B,C,356370,5.5,59283,7.4,243433,68.30%,54.20%,39753,53.60%,62610,58.70%,102363,56.70%,140463,52.30%,4.4pp
Funeral Room // Awakening Hall,B,M,10659,2.1,4208,2.19,19680,78.20%,52.70%,3310,49.90%,5155,59.00%,8465,55.40%,11087,50.40%,5.0pp
Give In to Violence,B,C,427555,8.01,43505,11.83,27468,10.60%,49.60%,4315,48.50%,6619,51.70%,10934,50.40%,16481,48.90%,1.5pp
Grievous Wound,B,R,56938,5.26,6167,8.34,4040,11.10%,44.40%,632,42.40%,997,44.30%,1629,43.60%,2399,44.90%,-1.4pp
Innocuous Rat,B,C,367989,5.65,54450,7.92,233138,71.40%,54.10%,41405,54.90%,56565,56.10%,97970,55.60%,134785,53.00%,2.6pp
Killer's Mask,B,U,153938,6.08,17517,9.06,33619,32.50%,51.10%,5671,50.30%,8159,52.10%,13830,51.30%,19742,51.00%,0.3pp
Let's Play a Game,B,U,144734,5.49,20272,7.83,52264,43.50%,53.00%,8332,51.80%,13148,58.10%,21480,55.70%,30503,50.90%,4.8pp
Leyline of the Void,B,R,69012,6.04,7755,9.46,545,1.20%,41.10%,0,,129,,129,,414,,
Live or Die,B,U,95265,3.51,20683,4.41,99479,81.50%,52.60%,15748,51.30%,25838,57.60%,41586,55.20%,57325,50.50%,4.7pp
Meathook Massacre II,B,M,16478,3.06,3379,3.65,10495,53.90%,49.40%,1640,44.60%,2779,52.60%,4419,49.60%,6020,49.50%,0.1pp
Miasma Demon,B,U,128275,4.87,17888,6.73,61369,58.30%,52.10%,9445,51.10%,15648,54.80%,25093,53.40%,36078,51.10%,2.3pp
Murder,B,C,283896,4.19,45319,5.79,217252,80.90%,52.90%,36020,52.10%,55582,57.20%,91602,55.20%,124853,51.20%,4.0pp
Nowhere to Run,B,U,74756,2.74,23046,3.28,123047,88.70%,54.20%,21808,56.10%,31546,58.80%,53354,57.70%,69214,51.40%,6.3pp
Osseous Sticktwister,B,U,81533,2.94,22993,3.59,122812,88.60%,54.50%,21952,55.30%,30813,57.50%,52765,56.60%,69728,52.80%,3.8pp
Overlord of the Balemurk,B,M,7651,1.49,5094,1.49,27617,88.30%,56.00%,4923,63.10%,7017,61.40%,11940,62.10%,15641,51.40%,10.6pp
Popular Egotist,B,U,135858,5.09,21809,6.87,80161,61.70%,53.50%,13491,52.10%,19814,56.30%,33305,54.60%,46845,52.70%,1.9pp
Resurrected Cultist,B,C,414912,7.2,47732,10.53,95139,33.50%,52.20%,16171,49.60%,23007,53.30%,39178,51.80%,55961,52.40%,-0.6pp
Spectral Snatcher,B,C,392664,6.31,46955,9.33,150750,54.20%,51.90%,25968,50.00%,37588,54.10%,63556,52.40%,87044,51.50%,0.9pp
Sporogenic Infection,B,U,106845,3.88,20375,5.12,96320,79.10%,53.50%,16392,53.90%,24422,57.00%,40814,55.80%,55194,51.70%,4.0pp
Unholy Annex // Ritual Chamber,B,R,17341,1.69,10995,1.66,61228,89.20%,56.70%,10772,64.60%,16102,64.90%,26874,64.80%,33938,50.30%,14.5pp
Unstoppable Slasher,B,R,15623,1.5,10249,1.49,57411,91.10%,55.80%,10206,63.50%,14752,60.10%,24958,61.50%,32413,51.50%,10.0pp
"Valgavoth, Terror Eater",B,M,9838,1.94,3985,1.89,17500,73.60%,53.00%,2626,52.60%,4525,56.20%,7151,54.90%,10224,51.80%,3.1pp
Valgavoth's Faithful,B,U,116615,4.3,18385,5.82,75865,69.70%,52.50%,13066,51.00%,18955,56.00%,32021,54.00%,43454,51.30%,2.7pp
Vile Mutilator,B,U,106305,3.96,19525,5.16,87335,75.20%,52.80%,13078,52.20%,22330,56.60%,35408,55.00%,51664,51.30%,3.7pp
Winter's Intervention,B,C,367155,5.69,49499,8.17,179928,60.90%,53.20%,31511,53.80%,44984,55.70%,76495,54.90%,102934,51.90%,3.0pp
Withering Torment,B,U,87735,3.07,20749,3.88,106776,87.50%,52.60%,18315,51.10%,27162,56.10%,45477,54.00%,60944,51.50%,2.5pp
Bedhead Beastie,R,C,418792,7.22,51629,10.58,89589,28.90%,51.70%,15051,48.90%,21267,52.40%,36318,50.90%,53380,52.30%,-1.4pp
Betrayer's Bargain,R,U,92381,3.38,30808,3.95,171271,90.10%,55.90%,28343,55.80%,40069,59.40%,68412,57.90%,102780,54.50%,3.4pp
Boilerbilges Ripper,R,C,427280,7.79,54932,11.1,64412,19.40%,52.90%,9859,51.00%,15573,54.30%,25432,53.00%,39002,52.90%,0.1pp
Chainsaw,R,R,19066,1.81,11383,1.84,64897,92.20%,56.20%,11519,60.70%,15223,59.70%,26742,60.10%,38125,53.40%,6.7pp
Charred Foyer // Warped Space,R,M,15075,2.92,4224,3.27,17155,69.60%,50.60%,2861,48.20%,4287,51.00%,7148,49.90%,9989,50.90%,-1.0pp
Clockwork Percussionist,R,C,355109,5.28,76702,6.79,381864,80.70%,56.30%,68601,58.70%,84041,55.70%,152642,57.00%,229016,55.80%,1.2pp
Cursed Recording,R,R,63981,5.55,10357,7.72,12232,19.90%,51.50%,2052,50.20%,3170,50.40%,5222,50.30%,7007,52.30%,-2.0pp
Diversion Specialist,R,U,138657,5.16,23895,7.06,90070,62.60%,53.70%,14361,51.50%,21201,54.50%,35562,53.30%,54622,53.90%,-0.6pp
Enduring Courage,R,R,19243,1.89,10116,1.92,55727,90.70%,54.70%,9237,55.20%,12986,56.80%,22223,56.10%,33707,53.80%,2.4pp
Fear of Being Hunted,R,U,102705,3.73,27754,4.59,148421,87.10%,55.80%,25406,57.00%,32850,56.60%,58256,56.80%,90279,55.10%,1.7pp
Fear of Burning Alive,R,U,89416,3.36,28328,3.93,149144,85.90%,55.50%,22827,54.10%,34917,59.70%,57744,57.50%,91278,54.30%,3.2pp
Fear of Missing Out,R,R,20357,1.91,11471,1.97,65187,91.70%,56.50%,12004,59.80%,14782,59.80%,26786,59.80%,38452,54.20%,5.6pp
Glassworks // Shattered Yard,R,C,248434,3.66,67409,4.63,370839,89.90%,55.10%,64022,55.40%,87274,58.30%,151296,57.10%,218530,53.70%,3.4pp
Grab the Prize,R,C,423883,7.64,54399,10.97,75403,22.90%,53.40%,12964,51.60%,16908,54.20%,29872,53.10%,45496,53.50%,-0.4pp
Hand That Feeds,R,C,377834,5.94,64500,8.24,274792,69.80%,54.80%,48903,54.10%,60644,54.90%,109547,54.60%,165126,55.00%,-0.4pp
